trial_id,repeat,support_posture,joint,direction,target_speed_rad_s,elapsed_s,schema_version,device_time_unit,urdf_sha256,protocol_sha256,collector_script_sha256,base_collector_script_sha256,host_time_s,device_time,seq,errors,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,dq5_rad_s,dq6_rad_s,tau1_nm,tau2_nm,tau3_nm,tau4_nm,tau5_nm,tau6_nm,gravity1_nm,gravity2_nm,gravity3_nm,gravity4_nm,gravity5_nm,gravity6_nm
35,2,heldout,3,1,0.08726646259971647,1.6515718059963547,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.00616,36497.877,18248996,0,0.9584569931030273,1.0412378311157227,0.9031429290771484,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.021978378295898438,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.07570171356201172,-2.509401321411133,9.811965942382812,-1.9267396926879883,0.10012245178222656,-0.10988998413085938,0.0,-2.81819029169747,8.083535664279538,-1.8382918374544956,-0.002063137393202877,-0.00588685559654336
35,2,heldout,3,1,0.08726646259971647,1.6542021929999464,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.0080895,36497.879,18248997,0,0.9584569931030273,1.0412378311157227,0.9031429290771484,0.00133514404296875,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.017093658447265625,0.021978378295898438,-0.021978378295898438,-0.0073261260986328125,-0.08058643341064453,-2.509401321411133,9.86666488647461,-1.9267396926879883,0.10012245178222656,-0.10988998413085938,0.0,-2.8182264678302493,8.083571840412317,-1.8383280135872746,-0.0020687607860672913,-0.005886491337909574
35,2,heldout,3,1,0.08726646259971647,1.6561216629997944,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.0100703,36497.881,18248998,0,0.9584569931030273,1.0412378311157227,0.9031429290771484,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.021978378295898438,-0.0024423599243164062,0.012209892272949219,-0.0073261260986328125,-0.021978378295898438,-0.0073261260986328125,-0.08058643341064453,-2.509401321411133,9.880340576171875,-1.9316234588623047,0.10012245178222656,-0.10988998413085938,0.0,-2.81819029169747,8.083535664279538,-1.8382918374544956,-0.002063137393202877,-0.00588685559654336
35,2,heldout,3,1,0.08726646259971647,1.6581003710016375,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.012173,36497.883,18248999,0,0.9584569931030273,1.0412378311157227,0.9035243988037109,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.012209892272949219,0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.08058643341064453,-2.5230770111083984,9.89401626586914,-1.9316234588623047,0.10500621795654297,-0.10988998413085938,0.0,-2.817682472464851,8.083027845046919,-1.8382553938150503,-0.0020575137001124623,-0.0058872189985269205
35,2,heldout,3,1,0.08726646259971647,1.6602170810001553,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.0136042,36497.884999999995,18249000,0,0.9584569931030273,1.0412378311157227,0.9035243988037109,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.017093658447265625,-0.021978378295898438,-0.0073261260986328125,-0.0073261260986328125,-0.08058643341064453,-2.536752700805664,9.89401626586914,-1.9316234588623047,0.10500621795654297,-0.10988998413085938,0.0,-2.817682472464851,8.083027845046919,-1.8382553938150503,-0.0020575137001124623,-0.0058872189985269205
35,2,heldout,3,1,0.08726646259971647,1.6616325279974262,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.0156026,36497.886999999995,18249001,0,0.9584569931030273,1.0412378311157227,0.9035243988037109,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.021978378295898438,-0.021978378295898438,-0.0073261260986328125,-0.0073261260986328125,-0.08058643341064453,-2.509401321411133,9.798290252685547,-1.9267396926879883,0.10500621795654297,-0.10988998413085938,0.0,-2.817682472464851,8.083027845046919,-1.8382553938150503,-0.0020575137001124623,-0.0058872189985269205
35,2,heldout,3,1,0.08726646259971647,1.6636295939970296,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.0175376,36497.888999999996,18249002,0,0.9584569931030273,1.0412378311157227,0.9035243988037109,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.026862144470214844,-0.021978378295898438,-0.0073261260986328125,-0.0073261260986328125,-0.08058643341064453,-2.5230770111083984,9.839317321777344,-1.9169721603393555,0.10500621795654297,-0.10988998413085938,0.0,-2.817682472464851,8.083027845046919,-1.8382553938150503,-0.0020575137001124623,-0.0058872189985269205
35,2,heldout,3,1,0.08726646259971647,1.6655581949962652,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.0201075,36497.890999999996,18249003,0,0.9584569931030273,1.0412378311157227,0.9039058685302734,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.026862144470214844,-0.021978378295898438,-0.0073261260986328125,-0.0073261260986328125,-0.08058643341064453,-2.536752700805664,9.85299301147461,-1.9120874404907227,0.10500621795654297,-0.10988998413085938,0.0,-2.8171734769968877,8.082518849578955,-1.8382186826742424,-0.002051889707614403,-0.0058875815438073735
35,2,heldout,3,1,0.08726646259971647,1.6681356900007813,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.0220423,36497.893,18249004,0,0.9584569931030273,1.0412378311157227,0.9039058685302734,0.00095367431640625,-0.00324249267578125,0.00476837158203125,0.0073261260986328125,-0.0024423599243164062,0.03174591064453125,-0.03663063049316406,-0.0073261260986328125,-0.0073261260986328125,-0.08058643341064453,-2.5230770111083984,9.811965942382812,-1.9023199081420898,0.10500621795654297,-0.10988998413085938,0.0,-2.8171734769968877,8.082518849578955,-1.8382186826742424,-0.002051889707614403,-0.0058875815438073735
35,2,heldout,3,1,0.08726646259971647,1.6700701439986005,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.0239835,36497.895,18249005,0,0.9584569931030273,1.0412378311157227,0.9039058685302734,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.03174591064453125,-0.021978378295898438,0.0073261260986328125,-0.0073261260986328125,-0.08058643341064453,-2.5230770111083984,9.784614562988281,-1.8974361419677734,0.10500621795654297,-0.10988998413085938,0.0,-2.8171734769968877,8.082518849578955,-1.8382186826742424,-0.002051889707614403,-0.0058875815438073735
35,2,heldout,3,1,0.08726646259971647,1.6720552769984351,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.025999,36497.897,18249006,0,0.9584569931030273,1.0412378311157227,0.9042873382568359,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.026862144470214844,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.07570171356201172,-2.509401321411133,9.86666488647461,-1.8974361419677734,0.10012245178222656,-0.10988998413085938,0.0,-2.8166633053676433,8.08200867794971,-1.8381817040374124,-0.002046265416527093,-0.005887943232331962
35,2,heldout,3,1,0.08726646259971647,1.6740239759965334,3,s,af3726fcacd0ac1320a56ea850b0a2c0f5430cf4eb20a45c078706980f08407e,d24fbe3839599a6a097188bae8cd47ce8083f27deef1341ae3086bf0d5a45bd1,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,87f63c0590d05baea263cdc42c6e1df2d063fa2def309ecb0283f3036bf33d46,1787977914.027956,36497.899,18249007,0,0.9584569931030273,1.0412378311157227,0.9042873382568359,0.00095367431640625,-0.00324249267578125,0.00476837158203125,-0.0073261260986328125,-0.0024423599243164062,0.026862144470214844,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.07570171356201172,-2.509401321411133,9.729915618896484,-1.8974361419677734,0.10012245178222656,-0.10988998413085938,0.0,-2.8166633053676433,8.08200867794971,-1.8381817040374124,-0.002046265416527093,-0.005887943232331962
