run_id,sample_id,host_time_s,reason,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg
20260829T005451,750,1787936191.9870503,"J2=180.265deg range=[0.000,179.909]",61.40706161980976,180.26508465064452,105.73296759719818,-43.06909652859272,19.5510066878113,0.27320756680051006
20260829T005451,747,1787936196.0096798,"J2=180.309deg range=[0.000,179.909]",61.45077483049784,180.3087978613326,104.46522984573046,-43.06909652859272,0.14206793473626522,0.27320756680051006
20260829T005451,745,1787936200.032769,"J2=180.309deg range=[0.000,179.909]",61.45077483049784,180.3087978613326,104.77122232054704,-43.090953133936765,-19.725914172076987,0.27320756680051006
20260829T005451,699,1787936204.0579865,"J2=180.309deg range=[0.000,179.909]",61.45077483049784,180.3087978613326,104.79307892589107,-13.86823465684733,-19.57286329315534,0.27320756680051006
20260829T005451,697,1787936208.0811758,"J2=180.309deg range=[0.000,179.909]",61.45077483049784,180.3087978613326,105.64554117582202,15.245200793521901,-19.5510066878113,-19.463580266435137
20260829T005451,718,1787936212.0968041,"J2=180.309deg range=[0.000,179.909]",61.494488041185924,180.3087978613326,106.19195630942305,15.288914004209982,-0.14206793473626522,-0.6447698576492037
20260829T005451,717,1787936216.1207018,"J2=180.309deg range=[0.000,179.909]",61.56005785721804,180.3087978613326,106.14824309873497,15.288914004209982,19.485436871779175,19.682146319875542
20260829T005451,760,1787936220.1430278,"J2=180.309deg range=[0.000,179.909]",61.56005785721804,180.3087978613326,105.73296759719818,-13.693381814095003,19.507293477123216,59.54925016556629
20260829T005451,759,1787936224.1597178,"J2=180.309deg range=[0.000,179.909]",61.60377106790612,180.3087978613326,105.12092800605168,-13.649668603406923,0.16392454008030602,59.54925016556629
20260829T005451,755,1787936228.1734233,"J2=180.309deg range=[0.000,179.909]",61.66934088393825,180.3087978613326,105.23021103277189,-13.715238419439045,-19.57286329315534,59.54925016556629
20260829T005451,763,1787936232.185631,"J2=180.309deg range=[0.000,179.909]",61.66934088393825,180.3087978613326,105.53620350758847,15.245200793521901,-0.14206793473626522,59.54925016556629
20260829T005451,757,1787936236.206086,"J2=180.309deg range=[0.000,179.909]",61.66934088393825,180.3087978613326,106.30123933614325,15.288914004209982,-19.5510066878113,59.54925016556629
20260829T005451,524,1787936280.410623,"J2=178.517deg range=[0.000,179.909]",61.77862391065845,178.51655622312126,105.86410722926243,0.9289057271217341,19.507293477123216,59.54925016556629
20260829T005451,693,1787936284.433457,"J2=179.806deg range=[0.000,179.909]",61.77862391065845,179.80609593841967,106.0608166773588,15.245200793521901,-19.5510066878113,20.228616094989924
20260829T005451,488,1787936288.4551573,"J2=180.243deg range=[0.000,179.909]",61.822337121346536,180.2432280453005,105.86410722926243,0.8633359110896117,-0.14206793473626522,0.29506417214455083
20260829T005451,482,1787936292.4776785,"J2=180.309deg range=[0.000,179.909]",61.86605033203462,180.3087978613326,105.42692048086826,-13.693381814095003,-19.57286329315534,0.29506417214455083
20260829T005451,533,1787936296.4900012,"J2=180.309deg range=[0.000,179.909]",61.822337121346536,180.3087978613326,105.09907140070764,-43.06909652859272,-0.14206793473626522,19.682146319875542
20260829T005451,518,1787936300.5024233,"J2=180.287deg range=[0.000,179.909]",61.88790693737866,180.28694125598858,104.90236195261127,-13.846378051503288,-19.57286329315534,59.54925016556629
20260829T005451,527,1787936304.5146945,"J2=180.309deg range=[0.000,179.909]",61.88790693737866,180.3087978613326,105.18649782208381,-43.06909652859272,-19.725914172076987,59.54925016556629
20260829T005451,941,1787936308.5367353,"J2=180.309deg range=[0.000,179.909]",61.71305409462633,180.3087978613326,104.57451287245067,-43.06909652859272,19.5510066878113,59.54925016556629
20260829T013432,748,1787938562.840749,"J2=180.265deg range=[0.000,179.909]",56.1614216957266,180.26508465064452,105.90782043995051,-43.06909652859272,-0.0327849080160612,-19.463580266435137
20260829T013432,743,1787938566.8650718,"J2=180.287deg range=[0.000,179.909]",56.205134906414685,180.28694125598858,104.57451287245067,-43.090953133936765,-19.725914172076987,-59.724103008318615
20260829T013432,734,1787938570.886998,"J2=180.265deg range=[0.000,179.909]",56.205134906414685,180.26508465064452,104.79307892589107,-13.86823465684733,-19.57286329315534,-59.724103008318615
20260829T013432,735,1787938574.9132073,"J2=180.265deg range=[0.000,179.909]",56.205134906414685,180.26508465064452,105.6892543865101,15.245200793521901,-19.5510066878113,-59.745959613662656
20260829T013432,732,1787938578.935256,"J2=180.287deg range=[0.000,179.909]",56.205134906414685,180.28694125598858,106.27938273079921,15.398197030930186,-0.14206793473626522,-59.745959613662656
20260829T013432,739,1787938582.957157,"J2=180.287deg range=[0.000,179.909]",56.1614216957266,180.28694125598858,106.19195630942305,15.420053636274227,19.398010450403014,-59.745959613662656
20260829T013432,227,1787938586.977877,"J2=178.123deg range=[0.000,179.909]",56.1614216957266,178.12313732692854,70.6525696048791,-0.3824905935207141,19.507293477123216,-59.7678162190067
20260829T013432,218,1787938591.0017781,"J2=178.123deg range=[0.000,179.909]",56.1614216957266,178.12313732692854,70.5432865781589,-0.40434719886475484,0.09835472404818361,-59.7678162190067
20260829T013432,220,1787938595.0245686,"J2=178.058deg range=[0.000,179.909]",56.1614216957266,178.0575675108964,70.49957336747082,-0.40434719886475484,-19.5510066878113,-59.7678162190067
20260829T013432,761,1787938671.378908,"J2=178.735deg range=[0.000,179.909]",56.205134906414685,178.73512227656167,105.7985374132303,0.8633359110896117,19.485436871779175,59.54925016556629
20260829T013432,714,1787938675.4020767,"J2=180.243deg range=[0.000,179.909]",56.205134906414685,180.2432280453005,105.4487770862123,-13.649668603406923,0.14206793473626522,20.228616094989924
20260829T013432,715,1787938679.4251752,"J2=180.287deg range=[0.000,179.909]",56.205134906414685,180.28694125598858,105.31763745414806,-13.671525208750962,19.507293477123216,20.228616094989924
20260829T013432,752,1787938683.4418266,"J2=180.287deg range=[0.000,179.909]",56.205134906414685,180.28694125598858,105.12092800605168,-43.06909652859272,19.5510066878113,20.228616094989924
20260829T013432,753,1787938687.4562955,"J2=180.287deg range=[0.000,179.909]",56.205134906414685,180.28694125598858,104.57451287245067,-43.06909652859272,-0.0327849080160612,59.54925016556629
20260829T013432,746,1787938691.4804184,"J2=180.309deg range=[0.000,179.909]",56.205134906414685,180.3087978613326,104.79307892589107,-43.090953133936765,-19.747770777421024,20.228616094989924
20260829T013432,496,1787938695.497027,"J2=180.221deg range=[0.000,179.909]",56.183278301070644,180.22137143995644,104.79307892589107,-13.86823465684733,19.507293477123216,0.29506417214455083
20260829T013432,497,1787938699.5209072,"J2=180.265deg range=[0.000,179.909]",56.205134906414685,180.26508465064452,105.4487770862123,-13.649668603406923,0.09835472404818361,19.682146319875542
20260829T013432,486,1787938703.5367377,"J2=180.265deg range=[0.000,179.909]",56.205134906414685,180.26508465064452,105.31763745414806,-13.671525208750962,-19.57286329315534,19.682146319875542
20260829T013432,528,1787938707.559476,"J2=180.287deg range=[0.000,179.909]",56.205134906414685,180.28694125598858,105.20835442742785,-43.090953133936765,-19.725914172076987,19.704057566732946
20260829T013432,481,1787938721.2765815,"J2=179.741deg range=[0.000,179.909]",56.46741417054318,179.74052612238754,105.16464121673977,-13.846378051503288,-19.57286329315534,-19.441723661091096
20260829T013432,484,1787938725.3005836,"J2=180.221deg range=[0.000,179.909]",56.46741417054318,180.22137143995644,105.82039401857435,15.245200793521901,-19.5510066878113,-0.6666264629932445
20260829T013432,489,1787938729.3207781,"J2=180.287deg range=[0.000,179.909]",56.46741417054318,180.28694125598858,106.30123933614325,15.310770609554023,-0.14206793473626522,-0.6666264629932445
20260829T013432,494,1787938733.343394,"J2=180.287deg range=[0.000,179.909]",56.46741417054318,180.28694125598858,106.19195630942305,15.288914004209982,19.485436871779175,-19.441723661091096
20260829T013432,546,1787938737.363522,"J2=180.287deg range=[0.000,179.909]",56.46741417054318,180.28694125598858,106.23566952011113,15.376340425586145,0.14206793473626522,-59.724103008318615
20260829T013432,540,1787938741.3856854,"J2=180.287deg range=[0.000,179.909]",56.46741417054318,180.28694125598858,106.25752612545517,15.376340425586145,-19.5510066878113,-59.745959613662656
20260829T013432,542,1787938745.407961,"J2=180.287deg range=[0.000,179.909]",56.46741417054318,180.28694125598858,105.75482420254222,-13.693381814095003,-0.14206793473626522,-59.7678162190067
20260829T013432,543,1787938749.430461,"J2=180.287deg range=[0.000,179.909]",56.46741417054318,180.28694125598858,105.23021103277189,-13.693381814095003,19.507293477123216,-59.7678162190067
