run_id,run_index,sample_id,host_time_s,device_time,seq,errors,target_q1_rad,target_q2_rad,target_q3_rad,target_q4_rad,target_q5_rad,target_q6_rad,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,dq1_rad_s,dq2_rad_s,dq3_rad_s,dq4_rad_s,dq5_rad_s,dq6_rad_s,tau1_nm,tau2_nm,tau3_nm,tau4_nm,tau5_nm,tau6_nm,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6
20260829T005451,1,226,1787936102.7508383,8252254.3437215,4535546,0,1.0706110000610352,1.221730476,1.221730476,0.2617993878,0.3490658504,-1.047197551,1.0706110000610352,1.3017854690551758,1.0877771377563477,0.2958345413208008,0.3439006805419922,-1.0423822402954102,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.012209892272949219,-4.834188461303711,7.9931640625,-1.7460317611694336,0.1831502914428711,-0.10500621795654297,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,2,219,1787936106.8891413,8256395.296523,4537617,0,1.0706110000610352,1.221730476,1.221730476,0.2617993878,0.0,-1.047197551,1.0706110000610352,1.2846193313598633,1.096170425415039,0.2954530715942383,-0.00057220458984375,-1.0427637100219727,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.012209892272949219,-3.8085460662841797,7.487178802490234,-1.7264957427978516,-0.012209892272949219,-0.10012245178222656,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,3,222,1787936111.3634222,8260870.746112499,4539854,0,1.0706110000610352,1.221730476,1.221730476,0.2617993878,-0.3490658504,-1.047197551,1.0706110000610352,1.2956819534301758,1.093881607055664,0.2954530715942383,-0.3446636199951172,-1.0427637100219727,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-4.464958190917969,7.623931884765625,-1.7167272567749023,-0.20268630981445312,-0.09523773193359375,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,4,217,1787936115.5961022,8265103.1533555,4541970,0,1.0706110000610352,1.221730476,1.221730476,-0.2617993878,0.0,-1.047197551,1.0706110000610352,1.2914857864379883,1.0996036529541016,-0.22716903686523438,-0.00247955322265625,-1.0427637100219727,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-4.205127716064453,7.25469970703125,-1.7606840133666992,0.07081794738769531,-0.09523773193359375,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,5,221,1787936119.6202106,8269126.137133,4543982,0,1.0706110000610352,1.221730476,1.221730476,-0.2617993878,-0.3490658504,-1.047197551,1.0706110000610352,1.2911043167114258,1.0893030166625977,-0.22793197631835938,-0.3484783172607422,-1.0427637100219727,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.012209892272949219,-4.19145393371582,7.911109924316406,-1.7216119766235352,-0.05616569519042969,-0.09523773193359375,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,6,214,1787936123.6443741,8273150.59061,4545994,0,1.0706110000610352,1.221730476,1.221730476,-0.7853981634,-0.3490658504,-1.047197551,1.0706110000610352,1.2846193313598633,1.107614517211914,-0.7593269348144531,-0.3522930145263672,-1.0427637100219727,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.012209892272949219,-3.794872283935547,6.830768585205078,-1.335775375366211,0.10012245178222656,-0.09523773193359375,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,7,215,1787936127.666965,8277172.751696,4548005,0,1.0706110000610352,1.221730476,1.221730476,-0.7853981634,0.0,-1.047197551,1.0706110000610352,1.2891969680786133,1.0893030166625977,-0.7589454650878906,-0.00286102294921875,-1.0427637100219727,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.012209892272949219,-4.082052230834961,7.924785614013672,-1.3650789260864258,0.08058643341064453,-0.09523773193359375,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,8,216,1787936131.6892977,8281195.504221,4550016,0,1.0706110000610352,1.221730476,1.221730476,-0.7853981634,0.3490658504,-1.047197551,1.0706110000610352,1.2842378616333008,1.0931177139282227,-0.7589454650878906,0.3492412567138672,-1.0427637100219727,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.012209892272949219,-3.7811965942382812,7.664958953857422,-1.3504276275634766,-0.04151439666748047,-0.09523773193359375,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,9,228,1787936135.7095883,8285216.327992501,4552026,0,1.0706110000610352,1.221730476,1.221730476,-0.2617993878,0.3490658504,-1.047197551,1.0706110000610352,1.3151369094848633,1.0706110000610352,-0.22678756713867188,0.3484783172607422,-1.0431451797485352,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.012209892272949219,-5.641025543212891,9.018802642822266,-1.7753353118896484,-0.0073261260986328125,-0.09523773193359375,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,10,256,1787936139.7256172,8289231.908908,4554034,0,1.0706110000610352,1.221730476,1.221730476,-0.2617993878,0.3490658504,-0.3490658504,1.0706110000610352,1.2903413772583008,1.0900659561157227,-0.22716903686523438,0.3484783172607422,-0.3561077117919922,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-4.150426864624023,7.856410980224609,-1.7606840133666992,-0.0073261260986328125,0.10500621795654297,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,11,247,1787936143.7376304,8293245.0346719995,4556040,0,1.0706110000610352,1.221730476,1.221730476,-0.2617993878,0.0,0.0,1.0706110000610352,1.2956819534301758,1.0885400772094727,-0.22678756713867188,-0.00057220458984375,-0.01163482666015625,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-4.451282501220703,7.9384613037109375,-1.770451545715332,-0.0024423599243164062,0.1880340576171875,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,12,241,1787936147.7527883,8297257.997607,4558047,0,1.0706110000610352,1.221730476,1.221730476,-0.2617993878,-0.3490658504,-0.3490658504,1.0706110000610352,1.2918672561645508,1.0900659561157227,-0.22716903686523438,-0.3484783172607422,-0.3397035598754883,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.012209892272949219,-4.24615478515625,7.829059600830078,-1.75091552734375,-0.05616569519042969,-0.1929178237915039,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,13,249,1787936151.7764354,8301282.350994,4560059,0,1.0706110000610352,1.221730476,1.221730476,0.2617993878,0.0,0.0,1.0706110000610352,1.3048372268676758,1.0797662734985352,0.2962160110473633,-0.00247955322265625,-0.01125335693359375,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-5.011966705322266,8.471794128417969,-1.7557992935180664,0.0659341812133789,0.1831502914428711,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,14,244,1787936155.8025587,8305308.963166,4562072,0,1.0706110000610352,1.221730476,1.221730476,0.2617993878,-0.3490658504,0.0,1.0706110000610352,1.2918672561645508,1.096933364868164,0.2958345413208008,-0.3446636199951172,-0.01087188720703125,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-4.232479095458984,7.446155548095703,-1.7411479949951172,-0.19780254364013672,0.17338180541992188,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,15,246,1787936159.8248096,8309331.9936655,4564083,0,1.0706110000610352,1.221730476,1.221730476,-0.2617993878,-0.3490658504,0.3490658504,1.0706110000610352,1.2907228469848633,1.0996036529541016,-0.22793197631835938,-0.3484783172607422,0.3435182571411133,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-4.164102554321289,7.268375396728516,-1.7216119766235352,-0.05128192901611328,0.08058643341064453,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,16,233,1787936163.849211,8313355.378923,4566095,0,1.0706110000610352,1.221730476,1.221730476,-0.7853981634,0.0,0.0,1.0706110000610352,1.2846193313598633,1.106088638305664,-0.7589454650878906,-0.00247955322265625,0.00514984130859375,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-3.794872283935547,6.912818908691406,-1.355311393737793,0.07570171356201172,-0.11477375030517578,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
20260829T005451,17,231,1787936167.869048,8317376.565914,4568105,0,1.0706110000610352,1.221730476,1.221730476,-0.7853981634,-0.3490658504,0.0,1.0706110000610352,1.2834749221801758,1.0904474258422852,-0.7593269348144531,-0.3522930145263672,0.00514984130859375,-0.0073261260986328125,-0.0024423599243164062,-0.0024423599243164062,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-0.0073261260986328125,-3.740171432495117,7.829059600830078,-1.3406591415405273,0.09523773193359375,-0.10988998413085938,30.0,60.0,60.0,50.0,40.0,18.0,1.600000023841858,2.0,1.7000000476837158,1.399999976158142,1.100000023841858,1.2000000476837158
